BatchID,Start Date,Start Time,Start Date+Time, Num Nodes, Duration (s), Bytes Read, Bytes Written,Bytes Read (GB),Bytes Written (GB), Opens, Closes, GetAttr, SetAttr,Avg. GB Read/node,Avg. GB Written/node
3034151,10/26/16,1:40:54,10/26/16 1:40,15,5868,5371482112,2962416882,5.00258255,2.758965718,"62,799","14,477","12,363","3,555",0.33351,0.18393
3034152,10/26/16,1:41:28,10/26/16 1:41,15,5636,5183700992,2778383175,4.827697754,2.587570972,"62,707","14,473","10,312","3,555",0.32185,0.17250
3034154,10/26/16,1:43:02,10/26/16 1:43,15,5918,8027922432,2531738789,7.476585388,2.357865487,"60,013","13,870","13,655","3,359",0.49844,0.15719
3034155,10/26/16,1:43:05,10/26/16 1:43,15,5525,8143679488,2715211157,7.584392548,2.528737445,"62,850","14,484","11,083","3,555",0.50563,0.16858
3034156,10/26/16,1:43:08,10/26/16 1:43,15,5763,5677473792,2896255530,5.287559509,2.697348157,"62,787","14,509","10,262","3,555",0.35250,0.17982
3034158,10/26/16,1:43:24,10/26/16 1:43,15,5688,2746015744,2816711276,2.557426453,2.623266798,"62,814","14,492","14,091","3,555",0.17050,0.17488
3034160,10/26/16,1:48:20,10/26/16 1:48,33,6158,13371797504,7081295273,12.45345688,6.594970145,"138,165","31,883","23,058","7,821",0.37738,0.19985
3034163,10/26/16,1:51:59,10/26/16 1:51,15,5740,6189010944,2878582665,5.763965607,2.680889019,"62,947","14,493","10,480","3,555",0.38426,0.17873
3034174,10/26/16,2:21:25,10/26/16 2:21,30,5990,21619679232,6705803951,20.13489532,6.245266601,"125,246","28,998","20,964","7,110",0.67116,0.20818
3034186,10/26/16,2:49:36,10/26/16 2:49,44,5919,24424083456,9606455880,22.74670029,8.946709223,"184,077","42,485","31,355","10,428",0.51697,0.20333
3034194,10/26/16,2:57:54,10/26/16 2:57,75,5872,51375067136,17237804946,47.8467598,16.05395688,"311,120","71,953","54,506","17,567",0.63796,0.21405
3034195,10/26/16,3:01:06,10/26/16 3:01,15,5629,6026551296,2870067959,5.612663269,2.672959081,"62,834","14,468","10,578","3,555",0.37418,0.17820
3034212,10/26/16,3:23:09,10/26/16 3:23,300,6222,2.5601E+11,70198166621,238.4283066,65.37713727,"1,251,227","289,713","301,023","70,674",0.79476,0.21792
3034214,10/26/16,3:25:30,10/26/16 3:25,15,5638,5574729728,2964220379,5.191871643,2.760645355,"62,922","14,468","12,062","3,555",0.34612,0.18404
3034216,10/26/16,3:28:50,10/26/16 3:28,155,6131,1.33076E+11,36363094155,123.9370804,33.86577047,"649,170","150,048","149,193","36,735",0.79959,0.21849
3034219,10/26/16,3:31:04,10/26/16 3:31,15,5771,6066446336,3077683562,5.64981842,2.866316179,"62,724","14,490","12,950","3,555",0.37665,0.19109
3034220,10/26/16,3:33:35,10/26/16 3:33,45,5947,31966236672,9615795657,29.77087784,8.955407568,"182,876","42,188","30,902","10,265",0.66158,0.19901
3034224,10/26/16,3:37:01,10/26/16 3:37,38,5614,21423599616,8529918857,19.95228195,7.944105991,"159,406","36,782","27,045","9,006",0.52506,0.20906
3034225,10/26/16,3:39:27,10/26/16 3:39,9,5776,2169397248,1673770317,2.02040863,1.558820081,"37,657","8,699","6,204","2,133",0.22449,0.17320
3034226,10/26/16,3:42:58,10/26/16 3:42,10,5692,4150796288,1517104802,3.865730286,1.41291395,"39,018","9,041","6,432","2,174",0.38657,0.14129
3034227,10/26/16,3:45:16,10/26/16 3:45,252,6023,2.1393E+11,58424225535,199.2376213,54.41180015,"1,047,194","242,191","247,480","59,138",0.79063,0.21592
3034237,10/26/16,4:02:12,10/26/16 4:02,15,5556,4290265088,2682174399,3.995620728,2.497969567,"60,034","13,891","11,155","3,393",0.26637,0.16653
3034251,10/26/16,4:28:46,10/26/16 4:28,15,5855,5996437504,2921134956,5.584617615,2.720518928,"62,817","14,495","12,480","3,555",0.37231,0.18137
3034252,10/26/16,4:28:49,10/26/16 4:28,15,5952,4871389184,2759806285,4.536834717,2.570269895,"62,736","14,458","10,988","3,555",0.30246,0.17135
3034255,10/26/16,4:28:52,10/26/16 4:28,15,5636,4340187136,2966312600,4.042114258,2.762593888,"62,725","14,491","11,199","3,555",0.26947,0.18417
3034260,10/26/16,4:39:21,10/26/16 4:39,26,5829,14077018112,5527851080,13.11024475,5.1482125,"108,822","25,146","18,083","6,162",0.50424,0.19801
3034261,10/26/16,4:40:03,10/26/16 4:40,26,6116,18334404608,5318233766,17.0752449,4.952991163,"108,669","25,103","18,222","6,162",0.65674,0.19050
3034262,10/26/16,4:42:52,10/26/16 4:42,37,5798,15238205440,8134994106,14.19168472,7.576303655,"154,896","35,778","25,967","8,769",0.38356,0.20476
3034265,10/26/16,4:52:38,10/26/16 4:52,15,5825,7433920512,2940542742,6.923377991,2.738593837,"62,780","14,502","10,562","3,555",0.46156,0.18257
3034267,10/26/16,4:59:44,10/26/16 4:59,15,5916,3551993856,2909437258,3.308052063,2.709624598,"62,772","14,494","10,326","3,555",0.22054,0.18064
3034268,10/26/16,5:08:47,10/26/16 5:08,31,6015,7629565952,6766348029,7.105587006,6.301652667,"129,825","29,939","21,689","7,347",0.22921,0.20328
3034270,10/26/16,5:18:02,10/26/16 5:18,48,5754,33194344448,10994768719,30.91464233,10.23967631,"200,837","46,321","33,972","11,376",0.64406,0.21333
3034272,10/26/16,5:22:54,10/26/16 5:22,15,5484,10056683520,2449962506,9.366016388,2.281705389,"57,057","13,233","10,635","3,167",0.62440,0.15211
3034273,10/26/16,5:25:24,10/26/16 5:25,15,5638,8817041408,2920062800,8.211509705,2.719520405,"62,751","14,473","10,787","3,555",0.54743,0.18130
3034276,10/26/16,5:30:58,10/26/16 5:30,15,6186,2667216896,2242240589,2.484039307,2.088249278,"59,950","13,895","11,102","3,370",0.16560,0.13922
3034277,10/26/16,5:31:59,10/26/16 5:31,30,5842,11938271232,6461485117,11.1183815,6.017726955,"125,372","28,948","22,022","7,110",0.37061,0.20059
3034278,10/26/16,5:36:37,10/26/16 5:36,15,5662,8256184320,2922531814,7.689170837,2.721819853,"62,772","14,450","10,498","3,555",0.51261,0.18145
3034279,10/26/16,5:38:55,10/26/16 5:38,15,5778,4429950976,2802394832,4.125713348,2.60993357,"60,082","13,895","9,908","3,409",0.27505,0.17400
3034283,10/26/16,5:55:03,10/26/16 5:55,191,6142,1.60851E+11,44255099352,149.8041992,41.21577307,"795,345","183,833","158,696","44,872",0.78432,0.21579
3034291,10/26/16,6:13:01,10/26/16 6:13,15,5484,6540148736,2522004946,6.090988159,2.34880014,"60,057","13,834","12,254","3,342",0.40607,0.15659
3034293,10/26/16,6:18:45,10/26/16 6:18,15,5854,5163544576,2944694587,4.808925629,2.742460544,"62,772","14,494","10,141","3,555",0.32060,0.18283
